Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
136,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
137,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
138,ConserveBet3,12.0,10,6.0,4,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
139,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
140,ConserveBet3,12.0,10,6.0,6,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
141,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
142,ConserveBet3,12.0,10,6.0,3,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
143,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
144,ConserveBet3,12.0,10,6.0,8,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
145,ConserveBet3,12.0,10,6.0,10,14.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
146,ConserveBet3,12.0,10,6.0,10,16.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
147,ConserveBet3,12.0,10,6.0,3,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
148,ConserveBet3,12.0,10,6.0,2,0.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
149,ConserveBet3,12.0,10,6.0,10,16.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
150,ConserveBet3,12.0,10,6.0,6,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
151,ConserveBet3,12.0,10,6.0,9,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
152,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
153,ConserveBet3,12.0,10,6.0,7,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
154,ConserveBet3,12.0,10,6.0,10,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
155,ConserveBet3,12.0,10,6.0,3,0.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
156,ConserveBet3,12.0,10,6.0,5,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
157,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
158,ConserveBet3,12.0,10,6.0,10,24.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
159,ConserveBet3,12.0,10,6.0,6,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
160,ConserveBet3,12.0,10,6.0,10,20.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
161,ConserveBet3,12.0,10,6.0,10,10.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
162,ConserveBet3,12.0,10,6.0,5,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
163,ConserveBet3,12.0,10,6.0,10,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
164,ConserveBet3,12.0,10,6.0,7,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
165,ConserveBet3,12.0,10,6.0,9,0.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
166,ConserveBet3,12.0,10,6.0,10,8.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
167,ConserveBet3,12.0,10,6.0,10,14.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
168,ConserveBet3,12.0,10,6.0,8,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
169,ConserveBet3,12.0,10,6.0,10,16.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
170,ConserveBet3,12.0,10,6.0,10,8.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
171,ConserveBet3,12.0,10,6.0,9,0.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
172,ConserveBet3,12.0,10,6.0,4,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
173,ConserveBet3,12.0,10,6.0,2,0.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
174,ConserveBet3,12.0,10,6.0,10,22.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
175,ConserveBet3,12.0,10,6.0,5,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
176,ConserveBet3,12.0,10,6.0,5,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
177,ConserveBet3,12.0,10,6.0,10,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
178,ConserveBet3,12.0,10,6.0,4,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
179,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
180,ConserveBet3,12.0,10,6.0,10,18.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
181,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
182,ConserveBet3,12.0,10,6.0,5,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
183,ConserveBet3,12.0,10,6.0,10,18.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
184,ConserveBet3,12.0,10,6.0,10,18.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
185,ConserveBet3,12.0,10,6.0,9,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
186,ConserveBet3,12.0,10,6.0,3,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
187,ConserveBet3,12.0,10,6.0,2,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
188,ConserveBet3,12.0,10,6.0,10,16.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
189,ConserveBet3,12.0,10,6.0,10,20.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
190,ConserveBet3,12.0,10,6.0,3,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
191,ConserveBet3,12.0,10,6.0,4,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
192,ConserveBet3,12.0,10,6.0,10,10.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
193,ConserveBet3,12.0,10,6.0,6,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
194,ConserveBet3,12.0,10,6.0,10,12.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
195,ConserveBet3,12.0,10,6.0,7,0.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
196,ConserveBet3,12.0,10,6.0,8,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
197,ConserveBet3,12.0,10,6.0,8,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
198,ConserveBet3,12.0,10,6.0,10,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
199,ConserveBet3,12.0,10,6.0,4,2.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
200,ConserveBet3,12.0,10,6.0,4,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
201,ConserveBet3,12.0,10,6.0,5,4.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
202,ConserveBet3,12.0,10,6.0,4,0.0,CRAB:2.0|FISH:2.0|SHRIMP:2.0
