Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
100,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
101,4BetAllInAt12Dollars,12.0,10,12.0,3,3.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
102,4BetAllInAt12Dollars,12.0,10,12.0,1,0.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
103,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
104,4BetAllInAt12Dollars,12.0,10,12.0,2,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
105,4BetAllInAt12Dollars,12.0,10,12.0,1,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
106,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
107,4BetAllInAt12Dollars,12.0,10,12.0,10,21.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
108,4BetAllInAt12Dollars,12.0,10,12.0,10,21.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
109,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
110,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
111,4BetAllInAt12Dollars,12.0,10,12.0,2,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
112,4BetAllInAt12Dollars,12.0,10,12.0,4,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
113,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
114,4BetAllInAt12Dollars,12.0,10,12.0,2,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
115,4BetAllInAt12Dollars,12.0,10,12.0,10,18.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
116,4BetAllInAt12Dollars,12.0,10,12.0,9,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
117,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
118,4BetAllInAt12Dollars,12.0,10,12.0,5,9.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
119,4BetAllInAt12Dollars,12.0,10,12.0,1,6.0,CRAB:3.0|DEER:3.0|FISH:3.0|SHRIMP:3.0
