Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
73,5BetAllInAt12Dollars,12.0,10,12.0,2,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
74,5BetAllInAt12Dollars,12.0,10,12.0,1,4.8,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
75,5BetAllInAt12Dollars,12.0,10,12.0,2,4.8,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
76,5BetAllInAt12Dollars,12.0,10,12.0,2,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
77,5BetAllInAt12Dollars,12.0,10,12.0,2,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
78,5BetAllInAt12Dollars,12.0,10,12.0,2,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
79,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
80,5BetAllInAt12Dollars,12.0,10,12.0,2,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
81,5BetAllInAt12Dollars,12.0,10,12.0,2,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
82,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
83,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
84,5BetAllInAt12Dollars,12.0,10,12.0,6,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
85,5BetAllInAt12Dollars,12.0,10,12.0,1,4.8,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
86,5BetAllInAt12Dollars,12.0,10,12.0,10,26.4,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
87,5BetAllInAt12Dollars,12.0,10,12.0,1,4.8,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
88,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
89,5BetAllInAt12Dollars,12.0,10,12.0,2,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
90,5BetAllInAt12Dollars,12.0,10,12.0,3,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
91,5BetAllInAt12Dollars,12.0,10,12.0,1,9.6,CRAB:2.4|DEER:2.4|FISH:2.4|GOURD:2.4|SHRIMP:2.4
