Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
121,1BetAllInAt12Dollars,12,10,12,9,0,FISH:12.0
122,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
123,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
124,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
125,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
126,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
127,1BetAllInAt12Dollars,12,10,12,10,72,FISH:12.0
128,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
129,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
130,1BetAllInAt12Dollars,12,10,12,10,48,FISH:12.0
131,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
132,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
133,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
134,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
135,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
136,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
137,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
138,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
139,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
140,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
141,1BetAllInAt12Dollars,12,10,12,10,72,FISH:12.0
142,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
143,1BetAllInAt12Dollars,12,10,12,10,60,FISH:12.0
144,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
145,1BetAllInAt12Dollars,12,10,12,10,72,FISH:12.0
146,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
147,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
148,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
149,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
150,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
151,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
152,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
153,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
154,1BetAllInAt12Dollars,12,10,12,10,24,FISH:12.0
155,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
156,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
157,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
158,1BetAllInAt12Dollars,12,10,12,10,84,FISH:12.0
159,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
160,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
161,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
162,1BetAllInAt12Dollars,12,10,12,10,36,FISH:12.0
163,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
164,1BetAllInAt12Dollars,12,10,12,8,0,FISH:12.0
165,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
166,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
167,1BetAllInAt12Dollars,12,10,12,5,0,FISH:12.0
168,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
169,1BetAllInAt12Dollars,12,10,12,7,0,FISH:12.0
170,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
171,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
172,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
173,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
174,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
175,1BetAllInAt12Dollars,12,10,12,10,72,FISH:12.0
176,1BetAllInAt12Dollars,12,10,12,3,0,FISH:12.0
177,1BetAllInAt12Dollars,12,10,12,10,48,FISH:12.0
178,1BetAllInAt12Dollars,12,10,12,1,0,FISH:12.0
