Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
124,ConserveBet4,12.0,10,6.0,6,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
125,ConserveBet4,12.0,10,6.0,6,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
126,ConserveBet4,12.0,10,6.0,10,10.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
127,ConserveBet4,12.0,10,6.0,9,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
128,ConserveBet4,12.0,10,6.0,2,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
129,ConserveBet4,12.0,10,6.0,9,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
130,ConserveBet4,12.0,10,6.0,10,12.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
131,ConserveBet4,12.0,10,6.0,5,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
132,ConserveBet4,12.0,10,6.0,8,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
133,ConserveBet4,12.0,10,6.0,6,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
134,ConserveBet4,12.0,10,6.0,4,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
135,ConserveBet4,12.0,10,6.0,5,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
136,ConserveBet4,12.0,10,6.0,10,10.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
137,ConserveBet4,12.0,10,6.0,10,15.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
138,ConserveBet4,12.0,10,6.0,9,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
139,ConserveBet4,12.0,10,6.0,3,3.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
140,ConserveBet4,12.0,10,6.0,5,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
141,ConserveBet4,12.0,10,6.0,3,0.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
142,ConserveBet4,12.0,10,6.0,10,16.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
143,ConserveBet4,12.0,10,6.0,10,13.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
144,ConserveBet4,12.0,10,6.0,10,15.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
145,ConserveBet4,12.0,10,6.0,8,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
146,ConserveBet4,12.0,10,6.0,10,13.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
147,ConserveBet4,12.0,10,6.0,10,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
148,ConserveBet4,12.0,10,6.0,10,9.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
149,ConserveBet4,12.0,10,6.0,3,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
150,ConserveBet4,12.0,10,6.0,10,10.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
151,ConserveBet4,12.0,10,6.0,10,13.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
152,ConserveBet4,12.0,10,6.0,9,4.5,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
153,ConserveBet4,12.0,10,6.0,10,15.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
154,ConserveBet4,12.0,10,6.0,10,15.0,CRAB:1.5|DEER:1.5|FISH:1.5|SHRIMP:1.5
