Session,Strategy_Name,Starting_Bankroll,Max_Rounds,Cost_Per_Round,Rounds_Survived,Final_Bankroll,Bet_Sheet
100,ConserveBet2,12.0,10,6.0,5,0.0,CRAB:3.0|FISH:3.0
101,ConserveBet2,12.0,10,6.0,6,0.0,CRAB:3.0|FISH:3.0
102,ConserveBet2,12.0,10,6.0,7,3.0,CRAB:3.0|FISH:3.0
103,ConserveBet2,12.0,10,6.0,10,6.0,CRAB:3.0|FISH:3.0
104,ConserveBet2,12.0,10,6.0,10,9.0,CRAB:3.0|FISH:3.0
105,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
106,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
107,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
108,ConserveBet2,12.0,10,6.0,5,3.0,CRAB:3.0|FISH:3.0
109,ConserveBet2,12.0,10,6.0,10,21.0,CRAB:3.0|FISH:3.0
110,ConserveBet2,12.0,10,6.0,10,30.0,CRAB:3.0|FISH:3.0
111,ConserveBet2,12.0,10,6.0,6,3.0,CRAB:3.0|FISH:3.0
112,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
113,ConserveBet2,12.0,10,6.0,3,3.0,CRAB:3.0|FISH:3.0
114,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
115,ConserveBet2,12.0,10,6.0,10,27.0,CRAB:3.0|FISH:3.0
116,ConserveBet2,12.0,10,6.0,10,6.0,CRAB:3.0|FISH:3.0
117,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
118,ConserveBet2,12.0,10,6.0,8,3.0,CRAB:3.0|FISH:3.0
119,ConserveBet2,12.0,10,6.0,4,3.0,CRAB:3.0|FISH:3.0
120,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
121,ConserveBet2,12.0,10,6.0,10,6.0,CRAB:3.0|FISH:3.0
122,ConserveBet2,12.0,10,6.0,10,21.0,CRAB:3.0|FISH:3.0
123,ConserveBet2,12.0,10,6.0,10,21.0,CRAB:3.0|FISH:3.0
124,ConserveBet2,12.0,10,6.0,3,3.0,CRAB:3.0|FISH:3.0
125,ConserveBet2,12.0,10,6.0,7,3.0,CRAB:3.0|FISH:3.0
126,ConserveBet2,12.0,10,6.0,10,33.0,CRAB:3.0|FISH:3.0
127,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
128,ConserveBet2,12.0,10,6.0,8,0.0,CRAB:3.0|FISH:3.0
129,ConserveBet2,12.0,10,6.0,3,0.0,CRAB:3.0|FISH:3.0
130,ConserveBet2,12.0,10,6.0,6,3.0,CRAB:3.0|FISH:3.0
131,ConserveBet2,12.0,10,6.0,5,0.0,CRAB:3.0|FISH:3.0
132,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
133,ConserveBet2,12.0,10,6.0,4,0.0,CRAB:3.0|FISH:3.0
134,ConserveBet2,12.0,10,6.0,2,0.0,CRAB:3.0|FISH:3.0
135,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
136,ConserveBet2,12.0,10,6.0,10,15.0,CRAB:3.0|FISH:3.0
137,ConserveBet2,12.0,10,6.0,10,3.0,CRAB:3.0|FISH:3.0
138,ConserveBet2,12.0,10,6.0,10,30.0,CRAB:3.0|FISH:3.0
139,ConserveBet2,12.0,10,6.0,10,21.0,CRAB:3.0|FISH:3.0
140,ConserveBet2,12.0,10,6.0,10,12.0,CRAB:3.0|FISH:3.0
141,ConserveBet2,12.0,10,6.0,10,24.0,CRAB:3.0|FISH:3.0
142,ConserveBet2,12.0,10,6.0,10,24.0,CRAB:3.0|FISH:3.0
143,ConserveBet2,12.0,10,6.0,10,39.0,CRAB:3.0|FISH:3.0
144,ConserveBet2,12.0,10,6.0,10,21.0,CRAB:3.0|FISH:3.0
